iter	Passed	Remaining
0	11	11474
1	21	10808
2	31	10580
3	41	10451
4	52	10349
5	61	10225
6	76	10904
7	87	10796
8	97	10691
9	106	10583
10	116	10499
11	126	10397
12	136	10351
13	146	10331
14	155	10232
15	164	10120
16	173	10052
17	183	9991
18	192	9922
19	200	9846
20	211	9844
21	219	9770
22	227	9678
23	236	9606
24	244	9533
25	252	9459
26	260	9400
27	270	9375
28	279	9343
29	287	9286
30	295	9230
31	303	9185
32	312	9152
33	321	9127
34	330	9115
35	340	9121
36	349	9085
37	357	9049
38	366	9040
39	375	9016
40	385	9010
41	394	8998
42	404	8991
43	413	8974
44	421	8943
45	429	8916
46	439	8907
47	448	8895
48	457	8877
49	466	8870
50	475	8855
51	485	8845
52	494	8831
53	502	8804
54	510	8774
55	519	8761
56	531	8785
57	539	8761
58	548	8749
59	557	8735
60	566	8722
61	575	8711
62	584	8692
63	594	8695
64	603	8675
65	613	8677
66	623	8677
67	632	8675
68	642	8673
69	652	8673
70	663	8677
71	671	8655
72	680	8641
73	689	8627
74	698	8620
75	707	8607
76	718	8611
77	727	8598
78	736	8587
79	745	8568
80	753	8549
81	763	8551
82	772	8537
83	783	8541
84	792	8534
85	801	8521
86	810	8504
87	818	8484
88	827	8468
89	835	8449
90	845	8449
91	854	8430
92	862	8415
93	870	8394
94	879	8375
95	887	8357
96	896	8343
97	905	8334
98	914	8323
99	924	8319
100	935	8323
101	946	8328
102	957	8336
103	967	8338
104	978	8343
105	991	8358
106	1001	8359
107	1012	8360
108	1023	8367
109	1033	8358
110	1041	8344
111	1050	8326
112	1058	8311
113	1067	8295
114	1075	8278
115	1083	8259
116	1091	8240
117	1101	8230
118	1109	8215
119	1117	8196
120	1126	8181
121	1134	8164
122	1142	8149
123	1151	8133
124	1161	8129
125	1169	8113
126	1178	8099
127	1186	8085
128	1195	8069
129	1203	8054
130	1211	8039
131	1219	8022
132	1229	8013
133	1237	8000
134	1246	7986
135	1255	7974
136	1263	7957
137	1271	7943
138	1279	7926
139	1290	7925
140	1298	7910
141	1307	7901
142	1316	7889
143	1324	7874
144	1333	7860
145	1341	7848
146	1351	7845
147	1361	7835
148	1370	7825
149	1379	7815
150	1388	7805
151	1397	7793
152	1405	7778
153	1415	7777
154	1425	7769
155	1434	7758
156	1442	7747
157	1452	7738
158	1461	7730
159	1470	7719
160	1481	7720
161	1490	7710
162	1499	7702
163	1508	7689
164	1517	7678
165	1525	7665
166	1534	7655
167	1545	7653
168	1555	7647
169	1565	7643
170	1575	7635
171	1585	7630
172	1595	7625
173	1605	7620
174	1616	7619
175	1625	7608
176	1634	7599
177	1643	7590
178	1652	7578
179	1660	7565
180	1671	7561
181	1679	7550
182	1688	7537
183	1697	7528
184	1707	7520
185	1717	7514
186	1725	7503
187	1736	7499
188	1745	7491
189	1755	7481
190	1763	7470
191	1772	7460
192	1781	7449
193	1791	7441
194	1801	7435
195	1809	7422
196	1818	7411
197	1826	7398
198	1835	7386
199	1843	7374
200	1854	7370
201	1862	7357
202	1870	7344
203	1879	7331
204	1887	7320
205	1896	7308
206	1904	7296
207	1913	7285
208	1922	7274
209	1930	7263
210	1939	7252
211	1949	7245
212	1959	7239
213	1968	7228
214	1977	7220
215	1986	7209
216	1994	7197
217	2003	7185
218	2011	7173
219	2019	7161
220	2028	7149
221	2036	7137
222	2046	7131
223	2054	7118
224	2063	7106
225	2071	7094
226	2079	7082
227	2088	7070
228	2096	7059
229	2106	7051
230	2114	7040
231	2122	7027
232	2131	7018
233	2140	7006
234	2148	6995
235	2157	6983
236	2166	6973
237	2175	6964
238	2183	6953
239	2194	6948
240	2202	6937
241	2211	6926
242	2219	6915
243	2228	6905
244	2238	6896
245	2246	6886
246	2255	6874
247	2263	6862
248	2271	6852
249	2280	6840
250	2288	6829
251	2299	6824
252	2307	6814
253	2317	6805
254	2326	6797
255	2335	6788
256	2344	6779
257	2354	6770
258	2364	6764
259	2372	6753
260	2381	6742
261	2390	6734
262	2400	6726
